LUTHER COLLEGE, REGINA (107650061RR0001)
"Reporting Period","Donor Name","City","Prov","Reported Amount ($)","Gifts In Kind ($)"
2024,"THE TREE OF LIFE FOUNDATION INC.","REGINA","SK",44266,0
2024,"ARLIN FOUNDATION","LANGLEY","BC",10000,0
2024,"COMMUNITY FOUNDATION OF MEDICINE HAT AND SOUTHEASTERN ALBERTA","MEDICINE HAT","AB",4500,0
2024,"CANADAHELPS CANADON","TORONTO","ON",4464,0
2024,"UNITED WAY EAST ONTARIO / CENTRAIDE EST DE L'ONTARIO","OTTAWA","ON",260,0
2024,"ABUNDANCE CANADA","WINNIPEG","MB",150,0
2023,"THE TREE OF LIFE FOUNDATION INC.","REGINA","SK",94820,0
2023,"AQUEDUCT FOUNDATION","VANCOUVER","BC",93248,0
2023,"Canadian Online Giving Foundation/Fondation canadienne de dons en ligne","CALGARY","AB",30040,0
2023,"Charitable Gift Funds Canada Foundation / Fonds de Bienfaisance Canada","KINGSTON","ON",30000,0
2023,"LAWTON PARTNERS CHARITABLE GIVING FOUNDATION INC.","WINNIPEG","MB",22000,0
2023,"THE SOUTH SASKATCHEWAN COMMUNITY FOUNDATION INC.","REGINA","SK",15200,0
2023,"ARLIN FOUNDATION","LANGLEY","BC",10000,0
2023,"Charitable Gift Funds Canada Foundation / Fonds de Bienfaisance Canada","KINGSTON","ON",10000,0
2023,"STRATEGIC CHARITABLE GIVING FOUNDATION","TORONTO","ON",5950,0
2023,"COMMUNITY FOUNDATION OF MEDICINE HAT AND SOUTHEASTERN ALBERTA","MEDICINE HAT","AB",4000,0
2023,"CANADAHELPS CANADON","TORONTO","ON",2030,0
2023,"UNITED WAY EAST ONTARIO / CENTRAIDE EST DE L'ONTARIO","OTTAWA","ON",1000,0
2023,"SASKATCHEWAN SYNOD, EVANGELICAL LUTHERAN CHURCH IN CANADA INC.","SASKATOON","SK",670,0
2023,"UNITED WAY BRITISH COLUMBIA","BURNABY","BC",516,0
2023,"SHEPHERD OF THE VALLEY LUTHERAN CHURCH","LUMSDEN","SK",250,0
2022,"THE SOUTH SASKATCHEWAN COMMUNITY FOUNDATION INC.","REGINA","SK",1517500,0
2022,"THE TREE OF LIFE FOUNDATION INC.","REGINA","SK",85000,0
2022,"AQUEDUCT FOUNDATION","VANCOUVER","BC",50000,0
2022,"THE DILAWRI FOUNDATION","TORONTO","ON",50000,0
2022,"Charitable Gift Funds Canada Foundation / Fonds de Bienfaisance Canada","KINGSTON","ON",30000,0
2022,"AQUEDUCT FOUNDATION","VANCOUVER","BC",29500,0
